Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Finland,Europe,5549576,98505,290,976,,46000,,51529,9,17750,176,5609912,1010872,Europe
Ghana,Africa,31737238,97585,,801,,94537,,2247,11,3075,25,1327990,41843,Africa
Mozambique,Africa,32150575,90555,,996,,73880,,15679,32,2817,31,642511,19984,Africa
Uganda,Africa,47216258,87756,,2129,,61304,,24323,987,1859,45,1394963,29544,Africa
Cyprus,Asia,1216391,85104,,380,,73263,,11461,40,69964,312,8452356,6948716,Europe
El Salvador,North America,6519853,81644,,2457,6,74388,,4799,61,12522,377,1094009,167797,Americas
Cameroon,Africa,27221906,80858,,1324,,78224,,1310,152,2970,49,1751774,64352,Africa
Botswana,Africa,2400266,80153,,1253,,69931,,8969,1,33393,522,1380609,575190,Africa
Maldives,Asia,550303,75162,,214,,72439,,2509,21,136583,389,1070885,1945992,South-EastAsia
Luxembourg,Europe,636421,72257,,819,,69891,,1547,2,113536,1287,3152443,4953392,Europe
Zimbabwe,Africa,15084880,70426,,2236,,46932,,21258,33,4669,148,882551,58506,Africa
Singapore,Asia,5897617,62744,26,36,,62432,,276,2,10639,6,14751144,2501204,WesternPacific
Cambodia,Asia,16956371,62700,830,953,28,54489,1012,7258,,3698,56,1587153,93602,WesternPacific
Jamaica,North America,2974457,50757,,1131,,40029,,9597,10,17064,380,458052,153995,Americas
Rwanda,Africa,13280709,49016,,582,,33356,,15078,70,3691,44,1730439,130297,Africa
Ivory Coast,Africa,27046580,48869,,319,,48242,,308,,1807,12,735556,27196,Africa
Senegal,Africa,17195178,46863,354,1201,5,42547,111,3115,17,2725,70,592196,34440,Africa
DRC,Africa,92343001,44332,,984,,28801,,14547,,480,11,228928,2479,Africa
Madagascar,Africa,28419173,42392,,928,,40798,,666,46,1492,33,217306,7646,Africa
Angola,Africa,33910499,40055,,939,,34357,,4759,12,1181,28,669500,19743,Africa
Malawi,Africa,19635561,39418,,1256,,33921,,4241,158,2007,64,285554,14543,Africa
Sudan,Africa,44897137,36805,,2760,,30647,,3398,,820,61,234414,5221,EasternMediterranean
Trinidad and Tobago,North America,1404149,34822,,941,,27962,,5919,22,24799,670,245703,174984,Americas
Cabo Verde,Africa,562187,33026,,290,,32236,,500,23,58746,516,184357,327928,Africa
Vietnam,Asia,98238234,32665,466,125,,9331,,23209,,333,1,8434266,85855,WesternPacific
Réunion,Africa,901878,31845,,244,,29597,,2004,32,35310,271,103924,115231,
Malta,Europe,442753,31394,154,420,,30192,6,782,,70906,949,1021801,2307835,Europe
Australia,Australia/Oceania,25803619,31323,99,912,1,29534,,877,17,1214,35,22135301,857837,WesternPacific
French Guiana,South America,306600,28421,,161,,9995,,18265,26,92697,525,300890,981376,
Syria,Asia,17935675,25795,,1899,,21889,,2007,,1438,106,103566,5774,EasternMediterranean
Gabon,Africa,2279483,25198,,162,,24941,,95,8,11054,71,919919,403565,Africa
